ALS|GLON(deg)|GLAT(deg)
 6627|  127.99|   -0.75
16403|  132.32|  -24.85
 6629|  127.80|    0.45
 6630|  127.61|    1.80
 6631|  128.31|   -2.29
16640|  133.34|  -29.04
 6632|  128.23|   -1.71
 6633|  128.10|   -0.80
17691|  128.16|   -1.04
14579|  128.23|   -1.14
16404|  138.71|  -46.85
 6634|  128.09|   -0.30
 6635|  127.86|    1.20
 6636|  128.91|   -4.74
 6637|  128.78|   -3.90
17683|  128.49|   -2.26
 6638|  128.36|   -1.42
 6639|  128.69|   -3.21
 6640|  128.73|   -3.43
 6641|  128.28|   -0.72
 6642|  128.06|    0.58
 6644|  128.27|   -0.58
 6643|  128.18|   -0.11
 6645|  128.33|   -0.96
 6646|  128.60|   -2.43
 6647|  127.95|    1.30
 6649|  128.68|   -2.73
 6648|  128.28|   -0.50
 6650|  128.76|   -3.14
 6652|  129.11|   -4.93
19957|  128.89|   -3.70
 6651|  127.41|    4.56
16724|  290.84|  -58.79
 6654|  128.33|   -0.30
 6653|  127.85|    2.31
 6655|  128.28|    0.02
 6656|  128.04|    1.45
 6657|  128.68|   -1.99
 6658|  128.52|   -1.00
 6662|  129.10|   -4.14
 6659|  128.68|   -1.78
 6660|  128.84|   -2.52
 6661|  128.05|    1.92
 6664|  128.87|   -2.46
 6663|  128.52|   -0.56
 6665|  128.67|   -1.26
 6668|  128.82|   -1.91
 6666|  128.08|    2.02
 6667|  128.14|    1.70
 6669|  128.46|    0.09
 6672|  129.34|   -4.44
 6670|  128.49|    0.07
 6673|  129.73|   -6.45
 6671|  128.37|    0.72
17680|  129.04|   -2.72
 6674|  128.51|    0.10
 6675|  128.97|   -2.03
 6677|  129.76|   -6.07
 6676|  128.48|    0.59
16537|  132.92|  -21.34
19959|  130.01|   -7.25
 6678|  128.57|    0.26
 6679|  128.29|    1.82
19958|  125.58|   15.35
 6680|  128.59|    0.31
 6681|  128.99|   -1.70
 6682|  127.91|    4.09
 6685|  129.26|   -2.66
 6683|  128.24|    2.52
 6684|  128.93|   -0.96
 6686|  128.87|   -0.49
16538|  129.02|   -1.23
17333|  134.46|  -26.49
 6687|  128.80|   -0.08
 6688|  128.54|    1.29
 6689|  128.97|   -0.85
16405|  129.52|   -3.59
 6692|  129.35|   -2.69
 6691|  128.63|    0.95
 6690|  128.59|    1.12
 6694|  128.93|   -0.48
 6693|  128.85|   -0.08
 6696|  129.14|   -1.40
 6695|  128.45|    2.08
16539|  129.06|   -0.84
 6702|  129.01|   -0.56
 6697|  128.55|    1.72
 6701|  128.99|   -0.45
 6698|  128.55|    1.73
 6699|  128.55|    1.76
 6704|  128.87|    0.19
 6700|  128.55|    1.74
 6703|  128.64|    1.31
19339|  128.95|   -0.17
16406|  129.27|   -1.68
 6705|  128.67|    1.31
 6707|  129.19|   -1.24
 6708|  129.21|   -1.25
 6706|  128.60|    1.74
 6709|  129.23|   -1.32
 6710|  129.32|   -1.72
 6713|  130.87|   -9.18
15879|  131.32|  -11.33
 6711|  129.16|   -0.91
 6712|  129.06|   -0.41
19340|  129.06|   -0.37
