#    |              BAT_NAME|     RA|    DEC|     SNR|              COUNTERPART_NAME|                     OTHER_NAME| CTPT_RA|CTPT_DEC|    FLUX| FLUX_LO| FLUX_HI|CONTA|GAMM|GAMM|GAMM|  CHI_SQ_R|REDSHIF|  LUM|ASSOC_STREN|        CL2|                 TYPE
#    |                      |    deg|    deg|        |                              |                               |     deg|     deg|10^-12er|10^-12er|10^-12er|     |    |    |    |          |       |log  |           |           |
  73|SWIFT J0123.9-5846    | 20.959|-58.798|   31.68|Fairall9                      |                               | 20.9408|-58.8057|   48.39|   46.35|   50.99|  0.0|2.03|1.93|2.14|      2.00| 0.0470| 44.4|           |         40|Sy1.2               
  74|SWIFT J0124.5+3350    | 21.136| 33.768|   11.71|NGC513                        |                               | 21.1119| 33.7995|   24.47|   21.85|   27.80|  0.0|1.74|1.50|1.98|      1.20| 0.0190| 43.3|           |         50|Sy2                 
  75|SWIFT J0126.0+3511    | 21.593| 35.118|    4.53|1RXSJ012556.6+351039          |                               | 21.4832| 35.1761|    7.07|    4.24|    9.03|  0.0|2.00|1.15|3.01|      1.50| 0.3120| 45.3|           |         40|Sy1                 
  76|SWIFT J0126.2+1517    | 21.514| 15.382|    4.65|RHS10                         |                               | 21.4919| 15.3038|    6.83|    4.07|    8.72|  0.0|2.25|1.52|3.34|      1.40| 0.1110| 44.3|           |         40|Sy1                 
  77|SWIFT J0127.5+1910    | 21.906| 19.167|    9.27|Mrk359                        |                               | 21.8856| 19.1788|   13.57|   11.02|   15.36|  0.0|2.37|1.97|2.86|      2.00| 0.0170| 42.9|           |         40|Sy1.5               
  78|SWIFT J0128.0-1850    | 22.017|-18.800|   10.66|MCG-3-4-72                    |                               | 22.0280|-18.8086|   20.00|   17.09|   22.06|  0.0|1.94|1.64|2.26|      0.30| 0.0460| 44.0|           |         40|Sy1                 
  79|SWIFT J0128.4+1631    | 22.123| 16.477|    7.13|Z459-58                       |                               | 22.1017| 16.4593|   14.01|   10.81|   16.28|  0.0|1.83|1.38|2.35|      0.40| 0.0380| 43.6|           |         50|Sy1.9               
  80|SWIFT J0128.9-6039    | 22.247|-60.630|    5.81|2MASXJ01290761-6038423        |                               | 22.2818|-60.6450|    7.79|    6.01|    9.49|  0.0|2.32|1.78|3.01|      0.60| 0.2030| 44.9|           |         50|Sy2                 
  81|SWIFT J0130.0-4218    | 22.520|-42.341|    5.07|ESO244-30                     |                               | 22.4636|-42.3265|    5.53|    4.03|    7.01|  0.0|2.88|2.01|4.46|      0.50| 0.0250| 42.9|           |         50|Sy2                 
  82|SWIFT J0130.2-4552    | 22.545|-45.915|    5.97|2MASXJ01302127-4601448        |                               | 22.5887|-46.0292|   12.22|    9.72|   14.56|  0.0|1.48|0.99|1.99|      0.30| 0.1110| 44.5|           |         50|Sy2                 
